match_id,league_name,country_name,home_team,away_team,start_time
12764285,UEFA Champions League,Europe,Juventus,PSV Eindhoven,2024-09-18 01:45:00
12764526,UEFA Champions League,Europe,Young Boys,Aston Villa,2024-09-18 01:45:00
12764072,UEFA Champions League,Europe,FC Bayern München,GNK Dinamo Zagreb,2024-09-18 04:00:00
12763940,UEFA Champions League,Europe,Milan,Liverpool,2024-09-18 04:00:00
12764442,UEFA Champions League,Europe,Real Madrid,VfB Stuttgart,2024-09-18 04:00:00
12764496,UEFA Champions League,Europe,Sporting,Lille,2024-09-18 04:00:00
12764489,UEFA Champions League,Europe,AC Sparta Praha,Red Bull Salzburg,2024-09-19 01:45:00
12764143,UEFA Champions League,Europe,Bologna,Shakhtar Donetsk,2024-09-19 01:45:00
12764175,UEFA Champions League,Europe,Celtic,ŠK Slovan Bratislava,2024-09-19 04:00:00
12764194,UEFA Champions League,Europe,Club Brugge KV,Borussia Dortmund,2024-09-19 04:00:00
12764343,UEFA Champions League,Europe,Manchester City,Inter,2024-09-19 04:00:00
12764383,UEFA Champions League,Europe,Paris Saint-Germain,Girona FC,2024-09-19 04:00:00
12437763,LaLiga,Spain,Mallorca,Real Sociedad,2024-09-18 02:00:00
12778688,LaLiga,Spain,Real Betis,Getafe,2024-09-19 02:00:00
12789093,Premier League,England,Maccabi Tel Aviv,Hapoel Jerusalem,2024-09-18 23:30:00
12817281,Premier League,England,FC Kaysar,Astana,2024-09-18 23:00:00
12736382,Premier League,England,Dynamo Kyiv,Vorskla Poltava,2024-09-19 00:00:00
