match_id,league_name,country_name,home_team,away_team,start_time
12436536,Premier League,England,Bournemouth,Leicester City,2025-05-26 00:00:00
12436559,Premier League,England,Fulham,Manchester City,2025-05-26 00:00:00
12436538,Premier League,England,Ipswich Town,West Ham United,2025-05-26 00:00:00
12436548,Premier League,England,Liverpool,Crystal Palace,2025-05-26 00:00:00
12436540,Premier League,England,Manchester United,Aston Villa,2025-05-26 00:00:00
12436541,Premier League,England,Newcastle United,Everton,2025-05-26 00:00:00
12436556,Premier League,England,Nottingham Forest,Chelsea,2025-05-26 00:00:00
12436549,Premier League,England,Southampton,Arsenal,2025-05-26 00:00:00
12436557,Premier League,England,Tottenham Hotspur,Brighton & Hove Albion,2025-05-26 00:00:00
12436542,Premier League,England,Wolverhampton,Brentford,2025-05-26 00:00:00
12437506,LaLiga,Spain,Real Madrid,Real Sociedad,2025-05-24 23:15:00
12437663,LaLiga,Spain,Espanyol,Las Palmas,2025-05-25 01:30:00
12437511,LaLiga,Spain,Leganés,Real Valladolid,2025-05-25 01:30:00
12437507,LaLiga,Spain,Deportivo Alavés,Osasuna,2025-05-25 04:00:00
12437516,LaLiga,Spain,Getafe,Celta Vigo,2025-05-25 04:00:00
12437508,LaLiga,Spain,Rayo Vallecano,Mallorca,2025-05-25 04:00:00
12437509,LaLiga,Spain,Girona FC,Atlético Madrid,2025-05-25 21:00:00
12437512,LaLiga,Spain,Villarreal,Sevilla,2025-05-25 23:15:00
12437503,LaLiga,Spain,Athletic Club,Barcelona,2025-05-26 04:00:00
